accession,n_ena_samples,n_runs,best_x_cov,total_x_cov,best_sample,platforms,studies,matched_on_field,matched_name,n_traits,total_envs,IMPROVEMENT_LEVEL,collection,PLANT_NAME,pedigree,countryOfOriginCode,panel_pri,in_eva_study,priority_score,action
Ames 28398,1,4,8.2,8.2,SAMN00839417,ILLUMINA,,sample_alias,TIL25,,,,,,,,1.0,False,18.3,call variants (moderate depth)
Ames 34597,1,1,7.2,7.2,SAMN51199827,ILLUMINA,PRJNA1321128,sample_alias,W462,,,,,,,,1.0,False,16.8,call variants (moderate depth)
PI 535922,1,1,6.9,6.9,SAMN41221383,ILLUMINA,PRJNA1108025,sample_title,S86,,,,,,,,1.0,False,16.4,call variants (moderate depth)
PI 369440,1,1,6.8,6.8,SAMN41221324,ILLUMINA,PRJNA1108025,sample_title,S27,,,,,,,,1.0,False,16.2,call variants (moderate depth)
Ames 34483,1,1,6.8,6.8,SAMN09622436,ILLUMINA,PRJNA479960,sample_alias,C11,,,,,,,,1.0,False,16.2,call variants (moderate depth)
PI 535915,1,1,6.7,6.7,SAMN41221320,ILLUMINA,PRJNA1108025,sample_title,S23,,,,,,,,1.0,False,16.0,call variants (moderate depth)
PI 369444,1,1,6.3,6.3,SAMN41221380,ILLUMINA,PRJNA1108025,sample_title,S83,,,,,,,,1.0,False,15.4,call variants (moderate depth)
Ames 34520,1,1,6.2,6.2,SAMN44075607,ILLUMINA,PRJNA1170466,cultivar,CML246,,,,,,,,1.0,False,15.3,call variants (moderate depth)
PI 535903,1,1,5.4,5.4,SAMN41221323,ILLUMINA,PRJNA1108025,sample_title,S26,1.0,1.0,Cultivar,,S 26,H853/ American Hybrid,POL,1.0,False,14.9,call variants (moderate depth)
PI 535904,1,1,5.9,5.9,SAMN41221339,ILLUMINA,PRJNA1108025,sample_title,S42,,,,,,,,1.0,False,14.8,call variants (moderate depth)
Ames 34521,1,1,5.8,5.8,SAMN17776957,ILLUMINA,PRJNA684330,cultivar,CML339,,,,,,,,1.0,False,14.7,call variants (moderate depth)
Ames 28407,1,2,5.4,5.4,SAMN00839414,ILLUMINA,,sample_alias,TIL15,,,,,,,,1.0,False,14.1,call variants (moderate depth)
PI 535918,1,1,5.2,5.2,SAMN41221351,ILLUMINA,PRJNA1108025,sample_title,S54,,,,,,,,1.0,False,13.8,call variants (moderate depth)
Ames 32754,1,1,4.2,4.2,SAMN51333054,ILLUMINA,PRJNA1328383,sample_alias,W1600,,,,,,,,1.0,False,12.3,low depth - impute or top-up
Ames 34598,1,1,4.0,4.0,SAMN51199895,ILLUMINA,PRJNA1321128,sample_alias,W540,,,,,,,,1.0,False,12.0,low depth - impute or top-up
Ames 28404,1,2,3.7,3.7,SAMN00839410,ILLUMINA,,sample_alias,TIL10,,,,,,,,1.0,False,11.6,low depth - impute or top-up
Ames 34599,1,1,3.6,3.6,SAMN51199901,ILLUMINA,PRJNA1321128,sample_alias,W546,,,,,,,,1.0,False,11.4,low depth - impute or top-up
Ames 28406,1,3,3.6,3.6,SAMN00839413,ILLUMINA,,sample_alias,TIL14,,,,,,,,1.0,False,11.4,low depth - impute or top-up
Ames 32751,1,1,3.5,3.5,SAMN51199634,ILLUMINA,PRJNA1321128,sample_alias,W253,,,,,,,,1.0,False,11.2,low depth - impute or top-up
Ames 33962,1,1,3.4,3.4,SAMN51199731,ILLUMINA,PRJNA1321128,sample_alias,W355,,,,,,,,1.0,False,11.1,low depth - impute or top-up
Ames 32753,1,1,2.9,2.9,SAMN51199783,ILLUMINA,PRJNA1321128,sample_alias,W415,,,,,,,,1.0,False,10.4,low depth - impute or top-up
Ames 28408,1,3,2.7,2.7,SAMN00839415,ILLUMINA,,sample_alias,TIL16,,,,,,,,1.0,False,10.0,low depth - impute or top-up
Ames 28409,1,3,2.7,2.7,SAMN00839416,ILLUMINA,,sample_alias,TIL17,,,,,,,,1.0,False,10.0,low depth - impute or top-up
Ames 34478,1,1,2.6,2.6,SAMN14114218,ILLUMINA,PRJNA606801,isolate,AA8,,,,,,,,1.0,False,9.9,low depth - impute or top-up
Ames 34668,1,1,2.4,2.4,SAMN12770493,ILLUMINA,PRJNA565870,cultivar,N42,,,,,,,,1.0,False,9.6,low depth - impute or top-up
Ames 33963,1,1,2.4,2.4,SAMN51199784,ILLUMINA,PRJNA1321128,sample_alias,W416,,,,,,,,1.0,False,9.6,low depth - impute or top-up
Ames 34604,1,1,1.8,1.8,SAMN51200160,ILLUMINA,PRJNA1321128,sample_alias,W845,1.0,1.0,Cultivar,,W845,(CH9 x W59M),USA,1.0,False,9.5,low depth - impute or top-up
Ames 32749,1,1,2.3,2.3,SAMN51199623,ILLUMINA,PRJNA1321128,sample_alias,W240,,,,,,,,1.0,False,9.4,low depth - impute or top-up
Ames 32752,1,1,1.9,1.9,SAMN51199722,ILLUMINA,PRJNA1321128,sample_alias,W346,,,,,,,,1.0,False,8.8,low depth - impute or top-up
CSR 110,1,1,1.2,1.2,SAMN12770442,ILLUMINA,PRJNA565870,cultivar,N138,1.0,1.0,Breeding material,,N138,Developed by selection from B14/Oh43//B14,USA,1.0,False,8.6,low depth - impute or top-up
Ames 23390,1,1,0.2,0.2,SAMN14649114,ILLUMINA,PRJNA627044,sample_title,A25,,,,,,,,1.0,False,6.3,re-sequence
Ames 23412,1,1,0.1,0.1,SAMN14649356,ILLUMINA,PRJNA627044,sample_title,A267,,,,,,,,1.0,False,6.2,re-sequence
Ames 23416,1,1,0.1,0.1,SAMN14649386,ILLUMINA,PRJNA627044,sample_title,A297,,,,,,,,1.0,False,6.2,re-sequence
