Name,name_base,SRA_ID,BioProject,reason
Huang428,Huang428,SRR11302047,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Ken44,Ken44,SRR11302048,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
H152,H152,SRR11302050,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Danhuang02,Danhuang02,SRR11302052,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
ZaC546,ZaC546,SRR11302054,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
HZ85,HZ85,SRR11302056,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Dan599,Dan599,SRR11302058,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Dong17,Dong17,SRR11302059,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Cheng18,Cheng18,SRR11302061,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
7327,7327,SRR11302062,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Ji533,Ji533,SRR11302063,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Suwan1611,Suwan1611,SRR11302064,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Ye52106,Ye52106,SRR11302066,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Dan598,Dan598,SRR11302073,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
A801,A801,SRR11302080,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_19,WIL_19,SRR11302086,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_20,WIL_20,SRR11302089,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
DH65232,DH65232,SRR11302091,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
LY16F,LY16F,SRR11302096,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_17,WIL_17,SRR11302099,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Baihunhuang,Baihunhuang,SRR11302102,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_18,WIL_18,SRR11302103,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Jian1495b,Jian1495b,SRR11302106,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Jian1495a,Jian1495a,SRR11302109,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
178,178,SRR11302110,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Huangzaosi,Huangzaosi,SRR11302111,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
WIL_16,WIL_16,SRR11302112,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Xu052,Xu052,SRR11302113,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Xun92_8,Xun92_8,SRR11302114,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Q1261,Q1261,SRR11302116,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
Denghai4866,Denghai4866,SRR11302118,PRJNA609577,SNPTools name has no GRIN plant-name match — needs curation
