sample,runs,bases,platform,strategies,studies,x_cov,accession,n_traits,in_snptools,collection,PLANT_NAME,matched
SAMN17614566,1,18200066400,ILLUMINA,WGS,PRJNA530187,7.9,,,False,,,False
SAMN17614573,1,12324674400,ILLUMINA,WGS,PRJNA530187,5.4,,,False,,,False
SAMN17614574,1,12554662200,ILLUMINA,WGS,PRJNA530187,5.5,,,False,,,False
SAMN17614582,1,12835091400,ILLUMINA,WGS,PRJNA530187,5.6,,,False,,,False
SAMN17614585,1,13567624200,ILLUMINA,WGS,PRJNA530187,5.9,,,False,,,False
SAMN17614589,1,12707205900,ILLUMINA,WGS,PRJNA530187,5.5,,,False,,,False
SAMN17614594,1,12758500500,ILLUMINA,WGS,PRJNA530187,5.5,,,False,,,False
SAMN17614597,1,16985936400,ILLUMINA,WGS,PRJNA530187,7.4,,,False,,,False
SAMN17614602,1,12106402800,ILLUMINA,WGS,PRJNA530187,5.3,,,False,,,False
SAMN17614603,1,11819019000,ILLUMINA,WGS,PRJNA530187,5.1,,,False,,,False
SAMN17614624,1,12758460900,ILLUMINA,WGS,PRJNA530187,5.5,,,False,,,False
SAMN17614644,1,13999561200,ILLUMINA,WGS,PRJNA530187,6.1,,,False,,,False
SAMN17614645,1,12021233100,ILLUMINA,WGS,PRJNA530187,5.2,,,False,,,False
SAMN17614651,1,14103333300,ILLUMINA,WGS,PRJNA530187,6.1,,,False,,,False
SAMN17614660,1,16234122900,ILLUMINA,WGS,PRJNA530187,7.1,,,False,,,False
SAMN17614661,1,12176286600,ILLUMINA,WGS,PRJNA530187,5.3,,,False,,,False
SAMN17614668,1,12667199400,ILLUMINA,WGS,PRJNA530187,5.5,,,False,,,False
SAMN17614669,1,12735698400,ILLUMINA,WGS,PRJNA530187,5.5,,,False,,,False
SAMN17614673,1,12696146700,ILLUMINA,WGS,PRJNA530187,5.5,,,False,,,False
SAMN17614676,1,17197751400,ILLUMINA,WGS,PRJNA530187,7.5,,,False,,,False
SAMN17614677,1,11987249100,ILLUMINA,WGS,PRJNA530187,5.2,,,False,,,False
SAMN17614684,1,15993822900,ILLUMINA,WGS,PRJNA530187,7.0,,,False,,,False
SAMN17614701,1,20658479400,ILLUMINA,WGS,PRJNA530187,9.0,,,False,,,False
SAMN17614706,1,20827104600,ILLUMINA,WGS,PRJNA530187,9.1,,,False,,,False
SAMN17614707,1,15506726700,ILLUMINA,WGS,PRJNA530187,6.7,,,False,,,False
SAMN17614708,1,17433218100,ILLUMINA,WGS,PRJNA530187,7.6,,,False,,,False
SAMN17614709,1,12424921800,ILLUMINA,WGS,PRJNA530187,5.4,,,False,,,False
SAMN17614713,1,13511934900,ILLUMINA,WGS,PRJNA530187,5.9,,,False,,,False
SAMN17614714,1,12171279900,ILLUMINA,WGS,PRJNA530187,5.3,,,False,,,False
SAMN17614724,1,15859110000,ILLUMINA,WGS,PRJNA530187,6.9,,,False,,,False
SAMN17614731,1,18482772000,ILLUMINA,WGS,PRJNA530187,8.0,,,False,,,False
SAMN17776922,1,16968806400,ILLUMINA,WGS,PRJNA684330,7.4,,,False,,,False
SAMN17776923,1,19765400100,ILLUMINA,WGS,PRJNA684330,8.6,,,False,,,False
SAMN17776926,1,14432685300,ILLUMINA,WGS,PRJNA684330,6.3,PI 601441,30.0,True,Maize.Group.PVP,PB80,True
SAMN17776927,1,12445667700,ILLUMINA,WGS,PRJNA684330,5.4,PI 601496,31.0,False,Maize.Group.PVP,PHK76,True
